Energia	P_OscStd	P_InvDcy	P_VEP	P_NSI	P_VIS_1	P_VIS_2	P_DCH	
6.77	0.018850548	0.018470867	0.024359662	0.011068314	0.016897845	0.00015968831	0.023050238	
6.78	0.018795589	0.018417658	0.024307659	0.01102408	0.016873725	0.00015945658	0.022996407	
6.79	0.01874086	0.018364668	0.024255876	0.010980059	0.016849673	0.00015922551	0.022942801	
6.8	0.018686359	0.018311896	0.024204313	0.010936248	0.01682569	0.00015899512	0.022889419	
6.81	0.018632085	0.018259341	0.024152967	0.010892647	0.016801776	0.00015876539	0.022836259	
6.82	0.018578037	0.018207002	0.024101839	0.010849255	0.016777929	0.00015853633	0.02278332	
6.83	0.018524213	0.018154877	0.024050926	0.010806071	0.01675415	0.00015830793	0.022730601	
6.84	0.018470613	0.018102966	0.024000228	0.010763092	0.016730438	0.00015808018	0.0226781	
6.85	0.018417234	0.018051267	0.023949743	0.010720319	0.016706793	0.00015785309	0.022625818	
6.86	0.018364077	0.017999779	0.023899471	0.010677749	0.016683215	0.00015762665	0.022573752	
6.87	0.01831114	0.017948502	0.02384941	0.010635383	0.016659704	0.00015740085	0.022521901	
6.88	0.018258422	0.017897434	0.023799559	0.010593218	0.016636259	0.00015717571	0.022470264	
6.89	0.018205921	0.017846574	0.023749918	0.010551253	0.016612879	0.0001569512	0.022418841	
6.9	0.018153636	0.017795922	0.023700484	0.010509487	0.016589566	0.00015672734	0.02236763	
6.91	0.018101567	0.017745475	0.023651258	0.01046792	0.016566318	0.00015650412	0.022316629	
6.92	0.018049712	0.017695233	0.023602238	0.01042655	0.016543134	0.00015628153	0.022265839	
6.93	0.01799807	0.017645195	0.023553422	0.010385375	0.016520016	0.00015605957	0.022215257	
6.94	0.01794664	0.017595359	0.023504811	0.010344396	0.016496962	0.00015583824	0.022164882	
6.95	0.017895421	0.017545726	0.023456402	0.01030361	0.016473973	0.00015561754	0.022114714	
6.96	0.017844412	0.017496293	0.023408195	0.010263016	0.016451047	0.00015539746	0.022064752	
6.97	0.017793612	0.01744706	0.023360189	0.010222615	0.016428186	0.000155178	0.022014994	
6.98	0.017743019	0.017398025	0.023312383	0.010182403	0.016405387	0.00015495917	0.02196544	
6.99	0.017692633	0.017349188	0.023264775	0.010142381	0.016382652	0.00015474095	0.021916087	
7	0.017642452	0.017300548	0.023217366	0.010102547	0.01635998	0.00015452334	0.021866936	
7.01	0.017592475	0.017252104	0.023170153	0.0100629	0.016337371	0.00015430634	0.021817986	
7.02	0.017542702	0.017203854	0.023123135	0.01002344	0.016314824	0.00015408996	0.021769234	
7.03	0.017493131	0.017155798	0.023076313	0.0099841641	0.016292339	0.00015387417	0.021720681	
7.04	0.017443762	0.017107935	0.023029684	0.0099450727	0.016269916	0.000153659	0.021672324	
7.05	0.017394592	0.017060263	0.022983248	0.0099061642	0.016247555	0.00015344442	0.021624164	
7.06	0.017345622	0.017012782	0.022937004	0.0098674377	0.016225256	0.00015323044	0.021576199	
7.07	0.01729685	0.016965491	0.022890951	0.0098288922	0.016203017	0.00015301706	0.021528428	
7.08	0.017248275	0.016918388	0.022845088	0.0097905266	0.016180839	0.00015280427	0.02148085	
7.09	0.017199896	0.016871474	0.022799413	0.00975234	0.016158722	0.00015259207	0.021433464	
